age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,Probability
50,13,1,1,635.0,0.0,40,0
39,11,1,0,0.0,0.0,40,0
26,7,1,1,0.0,0.0,37,0
43,10,1,0,0.0,0.0,40,0
57,13,1,1,0.0,0.0,40,0
19,9,1,1,0.0,334.0,40,1
46,5,0,0,0.0,0.0,40,0
39,9,1,0,0.0,0.0,20,1
39,13,1,1,0.0,0.0,35,0
53,9,1,0,0.0,0.0,38,0
54,13,1,1,0.0,0.0,50,1
44,9,0,0,0.0,0.0,38,0
32,13,1,1,0.0,0.0,40,0
31,9,1,1,0.0,0.0,40,0
22,9,1,0,0.0,0.0,40,0
23,7,1,1,0.0,0.0,40,0
50,11,0,0,0.0,0.0,40,0
18,6,1,1,0.0,0.0,53,0
53,10,1,1,0.0,0.0,60,0
30,9,1,0,0.0,0.0,35,0
54,9,0,0,0.0,0.0,40,0
39,13,1,0,0.0,0.0,16,0
25,9,0,1,0.0,0.0,40,0
31,11,1,0,0.0,0.0,32,0
44,12,1,1,5530.0,0.0,40,0
45,13,1,0,0.0,0.0,40,0
46,13,0,0,0.0,3000.0,40,1
18,10,1,0,0.0,0.0,20,0
35,14,1,0,0.0,0.0,60,0
21,10,1,0,0.0,0.0,8,0
44,9,1,1,0.0,0.0,40,0
26,9,1,1,0.0,0.0,40,0
55,10,1,0,0.0,0.0,40,0
22,11,0,0,0.0,0.0,20,0
38,13,1,0,0.0,0.0,60,0
25,9,1,1,0.0,0.0,40,0
48,9,1,0,0.0,0.0,40,1
46,13,1,1,0.0,0.0,60,1
53,11,0,0,0.0,0.0,48,1
34,13,1,0,0.0,0.0,15,0
43,10,1,0,0.0,0.0,40,0
55,10,1,1,0.0,0.0,40,0
28,9,0,1,0.0,0.0,40,0
27,13,1,1,0.0,0.0,60,0
39,10,1,0,0.0,0.0,20,0
40,10,1,1,0.0,0.0,40,0
27,8,1,1,0.0,0.0,40,0
36,10,1,1,0.0,0.0,55,0
57,14,1,0,0.0,0.0,50,0
41,4,1,1,0.0,0.0,40,0
46,9,1,1,0.0,0.0,55,0
28,10,1,1,0.0,0.0,40,0
33,14,1,0,0.0,0.0,45,0
61,13,1,0,0.0,3000.0,40,0
39,10,0,0,0.0,0.0,40,0
41,12,1,0,0.0,0.0,50,1
25,10,1,0,0.0,0.0,36,0
44,13,1,1,0.0,0.0,44,1
50,14,1,0,0.0,0.0,45,1
58,16,1,1,0.0,0.0,40,0
49,14,1,1,0.0,0.0,60,0
63,11,1,0,0.0,3000.0,40,0
48,10,1,1,0.0,0.0,40,0
44,13,1,1,0.0,0.0,50,0
26,10,1,0,0.0,0.0,40,0
49,9,1,1,0.0,0.0,40,0
57,10,1,0,0.0,0.0,40,0
33,11,1,1,0.0,0.0,40,0
35,13,1,1,8845.0,0.0,40,1
58,14,1,0,0.0,206.0,40,1
61,9,0,0,0.0,0.0,40,0
69,13,1,0,0.0,0.0,10,0
52,13,0,1,0.0,0.0,40,1
36,3,1,1,0.0,0.0,40,0
37,14,1,1,0.0,0.0,50,1
33,13,0,1,0.0,0.0,40,1
36,11,1,0,0.0,0.0,38,0
41,9,1,1,0.0,0.0,40,0
36,13,1,1,0.0,0.0,45,0
21,10,1,1,0.0,0.0,30,0
32,10,0,1,0.0,0.0,40,0
31,9,1,0,0.0,0.0,40,0
66,9,1,1,0.0,0.0,40,0
52,12,1,0,0.0,0.0,1,0
40,12,1,1,0.0,0.0,32,0
58,14,1,0,0.0,0.0,20,1
24,10,1,0,0.0,0.0,36,0
46,9,1,0,0.0,0.0,48,1
46,9,1,1,0.0,0.0,50,0
46,10,1,0,0.0,0.0,99,0
48,10,1,1,0.0,0.0,40,0
30,13,1,1,0.0,3000.0,40,1
52,9,1,0,0.0,0.0,40,0
36,13,1,0,0.0,771.0,28,0
57,7,1,1,0.0,0.0,40,0
31,13,1,0,0.0,0.0,40,0
44,14,1,1,0.0,0.0,40,0
28,13,1,0,0.0,0.0,20,0
26,13,1,1,0.0,0.0,45,0
45,9,1,1,0.0,0.0,99,0
32,9,1,1,0.0,0.0,40,0
22,12,0,0,0.0,0.0,40,0
41,9,1,1,0.0,0.0,40,0
26,9,1,0,2995.0,0.0,40,0
28,9,1,1,0.0,0.0,40,0
30,13,1,0,0.0,0.0,8,0
37,10,1,0,0.0,0.0,10,0
50,6,0,1,0.0,0.0,40,0
